Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
14609,,Spot,1,Image 1,193,1000000003,439
23603,,Spot,1,Image 1,193,1000000001,440
23285,,Spot,1,Image 1,193,1000000002,441
15421,,Spot,1,Image 1,194,1000000003,442
24738,,Spot,1,Image 1,194,1000000001,443
24418,,Spot,1,Image 1,194,1000000002,444
12108,,Spot,1,Image 1,195,1000000003,445
27044,,Spot,1,Image 1,195,1000000001,446
21822,,Spot,1,Image 1,195,1000000002,447
16461,,Spot,1,Image 1,196,1000000003,448
24139,,Spot,1,Image 1,196,1000000001,449
28641,,Spot,1,Image 1,196,1000000002,450
16771,,Spot,1,Image 1,197,1000000003,451
25601,,Spot,1,Image 1,197,1000000001,452
23161,,Spot,1,Image 1,197,1000000002,453
14793,,Spot,1,Image 1,198,1000000003,454
25117,,Spot,1,Image 1,198,1000000001,455
22778,,Spot,1,Image 1,198,1000000002,456
15215,,Spot,1,Image 1,199,1000000003,457
25834,,Spot,1,Image 1,199,1000000001,458
18369,,Spot,1,Image 1,199,1000000002,459
15672,,Spot,1,Image 1,200,1000000003,460
27328,,Spot,1,Image 1,200,1000000001,461
20797,,Spot,1,Image 1,200,1000000002,462
13126,,Spot,1,Image 1,201,1000000003,463
20827,,Spot,1,Image 1,201,1000000001,464
16158,,Spot,1,Image 1,201,1000000002,465
14397,,Spot,1,Image 1,202,1000000003,466
27539,,Spot,1,Image 1,202,1000000001,467
18705,,Spot,1,Image 1,202,1000000002,468
11770,,Spot,1,Image 1,203,1000000003,469
29451,,Spot,1,Image 1,203,1000000001,470
23317,,Spot,1,Image 1,203,1000000002,471
19385,,Spot,1,Image 1,204,1000000003,472
28967,,Spot,1,Image 1,204,1000000001,473
19432,,Spot,1,Image 1,204,1000000002,474
15707,,Spot,1,Image 1,205,1000000003,475
27040,,Spot,1,Image 1,205,1000000001,476
20682,,Spot,1,Image 1,205,1000000002,477
15892,,Spot,1,Image 1,206,1000000003,478
28228,,Spot,1,Image 1,206,1000000001,479
21210,,Spot,1,Image 1,206,1000000002,480
22017,,Spot,1,Image 1,207,1000000003,481
23261,,Spot,1,Image 1,207,1000000001,482
24594,,Spot,1,Image 1,207,1000000002,483
13345,,Spot,1,Image 1,208,1000000003,484
27296,,Spot,1,Image 1,208,1000000001,485
20207,,Spot,1,Image 1,208,1000000002,486
19523,,Spot,1,Image 1,209,1000000001,487
18597,,Spot,1,Image 1,209,1000000003,488
24268,,Spot,1,Image 1,209,1000000002,489
20370,,Spot,1,Image 1,210,1000000001,490
21339,,Spot,1,Image 1,210,1000000003,491
17098,,Spot,1,Image 1,210,1000000002,492
11861,,Spot,1,Image 1,211,1000000003,493
18110,,Spot,1,Image 1,211,1000000001,494
22686,,Spot,1,Image 1,211,1000000002,495
16259,,Spot,1,Image 1,212,1000000003,496
20430,,Spot,1,Image 1,212,1000000001,497
19207,,Spot,1,Image 1,212,1000000002,498
18200,,Spot,1,Image 1,213,1000000003,499
31407,,Spot,1,Image 1,213,1000000001,500
21476,,Spot,1,Image 1,213,1000000002,501
15506,,Spot,1,Image 1,214,1000000003,502
